Date,Version,Mode,Side,Season ID,Boss,Boss Icon,Member 1,Member 1 Icon,Member 2,Member 2 Icon,Member 3,Member 3 Icon,Member 4,Member 4 Icon,Score
09/01/2025,3.5,Pure Fiction 4,Node 2,2017,Flame Reaver of the Deepest Dark,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4034010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1013.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,31080
08/18/2025,3.5,Apocalyptic Shadow 4,Node 1,3011,Fulminating Wolflord,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2034010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,3570
08/18/2025,3.5,Apocalyptic Shadow 4,Node 2,3011,Hellcharred Shadow General,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2033020.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,3342
08/04/2025,3.4,Memory of Chaos 12,Node 1,1025,Svarog,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1014010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,1
08/04/2025,3.4,Memory of Chaos 12,Node 2,1025,Ten Stonehearts: Aventurine of Stratagems,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8034010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,2
07/21/2025,3.4,Pure Fiction 4,Node 1,2016,Gepard,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004020.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1013.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,31760
07/21/2025,3.4,Pure Fiction 4,Node 2,2016,Borisin Warhead: Hoolay,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2034010.webp,Saber,https://stardb.gg/api/static/StarRailResWebp/icon/character/1014.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Tingyun,https://stardb.gg/api/static/StarRailResWebp/icon/character/1202.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,29640
07/07/2025,3.4,Apocalyptic Shadow 4,Node 1,3010,Flame Reaver of Doomsday Led Astray,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4034010.webp,Aglaea,https://stardb.gg/api/static/StarRailResWebp/icon/character/1402.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,3585
07/07/2025,3.4,Apocalyptic Shadow 4,Node 2,3010,Starbane Doombringer,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8015010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,3664
06/23/2025,3.3,Memory of Chaos 12,Node 1,1024,Swarm: True Sting,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8024010.webp,Mydei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1404.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Gallagher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1301.webp,
06/23/2025,3.3,Memory of Chaos 12,Node 2,1024,Borisin Warhead: Hoolay,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2034010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,Cipher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1406.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,
06/09/2025,3.3,Pure Fiction 4,Node 1,2015,Argenti,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_3024010.webp,Argenti,https://stardb.gg/api/static/StarRailResWebp/icon/character/1302.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,37600
06/09/2025,3.3,Pure Fiction 4,Node 2,2015,Swarm: True Sting,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_8024010.webp,The Herta,https://stardb.gg/api/static/StarRailResWebp/icon/character/1401.webp,RMC,https://stardb.gg/api/static/StarRailResWebp/icon/character/8008.webp,Gallagher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1301.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,33920
05/26/2025,3.3,Apocalyptic Shadow 4,Node 1,3009,Annihilator of Desolation Mistral,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_1004010.webp,Anaxa,https://stardb.gg/api/static/StarRailResWebp/icon/character/1405.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Ruan Mei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1303.webp,Huohuo,https://stardb.gg/api/static/StarRailResWebp/icon/character/1217.webp,3627
05/26/2025,3.3,Apocalyptic Shadow 4,Node 2,3009,Soulhook Sovereign,https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_2004010.webp,Feixiao,https://stardb.gg/api/static/StarRailResWebp/icon/character/1220.webp,Robin,https://stardb.gg/api/static/StarRailResWebp/icon/character/1309.webp,Aventurine,https://stardb.gg/api/static/StarRailResWebp/icon/character/1304.webp,HM7,https://stardb.gg/api/static/StarRailResWebp/icon/character/1224.webp,3600
05/12/2025,3.2,Memory of Chaos 12,Node 1,1023,"Pollux, Netherwing Husk, Ferry of Souls",https://static.nanoka.cc/assets/hsr/monsterfigure/Monster_4014030.webp,Mydei,https://stardb.gg/api/static/StarRailResWebp/icon/character/1404.webp,Sunday,https://stardb.gg/api/static/StarRailResWebp/icon/character/1313.webp,Bronya,https://stardb.gg/api/static/StarRailResWebp/icon/character/1101.webp,Gallagher,https://stardb.gg/api/static/StarRailResWebp/icon/character/1301.webp,2
